keyword,language,topic,topicColor,keywordColor,limitPages,ratioNew
'Jon Jones',de,USA,#18e8e8,#18e8e8,1,0.428268717015
'Christophe Gleizes',de,unknown,#111111,#111111,1,0.427801086370
'Michel H. Devoret',de,USA,#18e8e8,#18e8e8,2,0.427700270000
'Jack Della Maddalena',de,unknown,#111111,#111111,2,0.427478252158
'Belal Muhammad',de,unknown,#111111,#111111,1,0.427423756320
'Kaitlan Collins',de,unknown,#111111,#111111,1,0.427388162268
'Boris Vallaud',de,Frankreich,#e8e808,#e8e808,1,0.427061193592
'Michel Barnier',de,Frankreich,#e8e808,#e8e808,2,0.426889133481
'Reem Alabali-Radovan',de,Deutschland,#11dd44,#11dd44,2,0.426765063247
'Alan Jackson',de,unknown,#111111,#111111,1,0.426613481647
'Pierre Farandou',de,Frankreich,#e8e808,#e8e808,1,0.426602909016
'Prince Philip',de,unknown,#111111,#111111,1,0.426250683920
'Abby Phillip',de,unknown,#111111,#111111,1,0.426007899239
'Ciryl Gane',de,unknown,#111111,#111111,1,0.425959758896
'Justin Gaethje',de,unknown,#111111,#111111,1,0.425959272437
'Cheryl Hines',de,USA,#18e8e8,#18e8e8,1,0.425691805007
'Eddie Hearn',de,UK,#e838e8,#e838e8,2,0.425587291339
'Steve Bannon',de,unknown,#111111,#111111,2,0.425359345360
'Philipp Aghion',de,Frankreich,#e8e808,#e8e808,1,0.425000000000
'Khaled al Serr',de,Palestina,#bb6633,#bb6633,1,0.425000000000
'Iyad al-Rantisi',de,Palestina,#bb6633,#bb6633,1,0.425000000000
'Adnan al-Burj',de,Palestina,#bb6633,#bb6633,1,0.425000000000
'Lara Trump',de,USA,#18e8e8,#18e8e8,2,0.424673197005
'Bärbel Bas',de,Deutschland,#11dd44,#11dd44,3,0.424000916448
'Maria Kolesnikowa',de,Belarus,#e81858,#e81858,2,0.423604199604
'Benjamin Netanjahu',de,Israel,#8822dd,#8822dd,3,0.423390850854
'Stephen Colbert',de,USA,#18e8e8,#18e8e8,3,0.421733349931
'Nancy Pelosi',de,unknown,#111111,#111111,1,0.421470555490
'Markus Lanz',de,Deutschland,#11dd44,#11dd44,3,0.421415446424
'Sandy Hook',de,USA,#18e8e8,#18e8e8,1,0.421059979679
'Prinzessin Diana',de,UK,#e838e8,#e838e8,3,0.420642308185
'Zack Snyder',de,USA,#18e8e8,#18e8e8,2,0.420508230232
'Philippe Aghion',de,Frankreich,#e8e808,#e8e808,3,0.420315113952
'Jeanne du Barry',de,Frankreich,#e8e808,#e8e808,2,0.419705540297
'Bad Bunny',de,PuertoRico,#b5412f,#b5412f,2,0.419329117952
'Kevin McCarthy',de,USA,#18e8e8,#18e8e8,2,0.418482790348
'Karin Prien',de,Deutschland,#11dd44,#11dd44,3,0.418364531530
'Henry Samuel',de,USA,#18e8e8,#18e8e8,2,0.418343196774
'Mohammad Mustafa',de,Palestina,#bb6633,#bb6633,1,0.417863413588
